course_title,professor,location,course_code,course_subject
Neural Basis of Behaviour.,Alanna Jean  Watt | Jon   Sakata ,SADB M-1,306,BIOL
Ecological Dynamics.,Frederic   Guichard ,STBIO S3/3,308,BIOL
Mathematical Models in Biology.,Leon   Glass ,MCMED 1034,309,BIOL
Molecular Biology of Oncogenes.,Loydie   Majewska | Karen Elizabeth   Christensen | David   Dankort | Thomas   Duchaine | Patricia N   Tonin | Giuseppina   Ursini-Siegel ,ENGMC 11,314,BIOL
Ecological Genetics.,Daniel J   Schoen ,TBA,324,BIOL
Insect Biology and Control.,Gary Brian   Dunphy ,STBIO S2/2,350,BIOL
Human Genetics Applied.,Roberta M   Palmour | Denis   Cournoyer | James   Engert | Jennifer   Fitzpatrick | John James   Mitchell | Tomi Markku   Pastinen | Aimee   Ryan ,STBIO S3/3,370,BIOL
Biometry.,Brian   Leung ,ENGTR 0100,373,BIOL
Plant Growth and Development.,Rajinder S   Dhindsa ,STBIO S4/106,385,BIOL
Limnology.,Irene   Gregory-Eaves | Gregor Florian  Fussmann ,STBIO S2/2,432,BIOL
Evolution and Society.,Ehab   Abouheif | Simon Matthew  Reader ,STBIO W2/3A,436,BIOL
Conservation Biology.,Lauren J.  Chapman | Frederic   Guichard ,REDMUS AUD,465,BIOL
Animal Communication.,Jon   Sakata | Rudiger   Krahe ,STBIO S2/2,507,BIOL
Neurobiology Learning and Memory.,Karim   Nader ,STBIO W2/3B,514,BIOL
Advances in Molecular/Cellular Neurobiology.,Kenneth E M   Hastings | Salvatore T   Carbonetto ,STBIO W2/3B,588,BIOL
Integrated Bioinformatics.,Paul Martin  Harrison ,STBIO W2/3A,592,BIOL
Limnology.,Irene   Gregory-Eaves | Gregor Florian  Fussmann ,STBIO S2/2,632,BIOL
Recent Advances in Biology 1.,TBA,TBA,650,BIOL
Recent Advances in Biology 1.,TBA,TBA,650,BIOL
Recent Advances in Biology 2.,TBA,TBA,651,BIOL
Recent Advances in Biology 2.,TBA,TBA,651,BIOL
Recent Advances in Biology 3.,TBA,TBA,652,BIOL
Epidemiology: Introduction and statistical models.,James Anthony   Hanley ,TBA,601,BIOS
Data Analysis & Report Writing.,Andrea   Benedetti | James Anthony   Hanley ,TBA,624D1,BIOS
Advanced Modeling: Survival and Other Multivariable Data.,Michal   Abrahamowicz ,TBA,637,BIOS
Selected Topics in Biotechnology.,Elias   Georges ,STBIO S3/3,505,BIOT
Selected Topics in Biomedical Engineering.,W Robert J   Funnell ,DUFF 321,501,BMDE
Biomedical Instrumentation.,Ross   Wagner ,DUFF 321,503,BMDE
Introduction to Micro and Nano-Bioengineering.,David   Juncker ,DUFF 321,508,BMDE
Finite-Element Modelling in Biomedical Engineering.,W Robert J   Funnell ,DUFF 321,512,BMDE
Biomedical  Signals and Systems.,Robert E   Kearney ,DUFF 321,519,BMDE
Engineering Design 1.,Marie-Josee   Dumont ,RAYMND 3-048,205,BREE
Mechanical Analysis & Design.,Abdolhamid Shafaroud  Akbarzadeh ,RAYMND 4-047,210,BREE
Bioresource Engineering Materials.,Marie-Josee   Dumont ,RAYMND 4-047,216,BREE
Computing for Engineers.,Shiv   Prasher ,RAYMND 2-046,252,BREE
Fluid Mechanics.,G S Vijaya   Raghavan ,RAYMND 4-047,305,BREE
Engineering Mathematics.,David   Titley-Péloquin ,RAYMND 3-045,319,BREE
Elements of Food Engineering.,Michael O   Ngadi ,RAYMND 3-048,324,BREE
Food Process Engineering.,Michael O   Ngadi ,RAYMND 3-048,325,BREE
